Subject,CatalogNumber,CourseTitle,CourseType,Dates,Credit,MeetingTime,Room,Instructor,TotalSeats,SeatsTaken,AvailableSeats
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,David Gurarie,5,0,5
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Elizabeth Meckes,5,0,5
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Stanislaw Szarek,5,0,5
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Peter Thomas,5,1,4
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Joel Langer,5,0,5
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Elisabeth Werner,5,1,4
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Weihong Guo,5,0,5
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Wojbor Woyczynski,5,0,5
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Michael Gurski,5,1,4
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Mark Meckes,5,0,5
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Jenny Brynjarsdottir,5,0,5
MATH,601,Reading and Research Problems,Research,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Mary Ann Horn,5,0,5
MATH,651,Thesis (M.S.),Thesis,02/01/2021 - 05/07/2021,1 - 18 units,TBA ,To Be Announced,Peter Thomas,5,0,5
