Subject,CatalogNumber,CourseTitle,CourseType,Dates,Credit,MeetingTime,Room,Instructor,TotalSeats,SeatsTaken,AvailableSeats
MPOD,413,Foundations of Positive Organization Development and Change,Lecture,01/30/2021 - 03/07/2021,3 units,Sa 9:00 AM - 5:00 PM,Web/Distance Learning,David Cooperrider,40,32,8
MPOD,416A,"Leadership, Executive Assessment and Development",Lecture,01/31/2021 - 03/13/2021,2 units,Su 8:30 AM - 3:30 PM,Web/Distance Learning,Melvin Smith,40,32,8
MPOD,418,Flourishing Enterprise,Lecture,03/09/2021 - 03/10/2021,2 units,Tu 9:00 AM - 5:00 PM,To Be Announced,Christopher Laszlo,19,19,0
MPOD,432,Interpersonal Skills Building,Seminar,01/28/2021 - 03/14/2021,3 units,ThF 9:00 AM - 5:00 PM,Web/Distance Learning,Corinne Coen,40,33,7
MPOD,439B,Individual Field Project,Lecture,03/11/2021 - 03/12/2021,2 units,Th 9:00 AM - 5:00 PM,To Be Announced,Harlow Cohen,19,19,0
MPOD,440C,Inclusive Leadership in a Global Context,Lecture,03/08/2021 - 03/08/2021,1 units,M 9:00 AM - 5:00 PM,To Be Announced,Diana Bilimoria,19,19,0
MPOD,498,Global Citizenship and Multi-Cultural OD: International Study Tour,Lecture,12/02/2020 - 01/29/2021,3 units,WThF 9:00 AM - 5:00 PM,Web/Distance Learning,Ronald Fry,19,19,0
MSBA,406B,Operations Management II,Lecture,02/01/2021 - 03/19/2021,1.5 units,Th 8:30 AM - 11:15 AM,Web/Distance Learning,Jie Ning,20,8,12
MSBA,407A,Managerial Marketing I,Lecture,02/01/2021 - 03/19/2021,1.5 units,M 8:30 AM - 11:15 AM,Web/Distance Learning,Casey Newmeyer,25,15,10
MSBA,407B,Managerial Marketing II,Lecture,03/22/2021 - 05/07/2021,1.5 units,M 8:30 AM - 11:15 AM,Web/Distance Learning,Staff,40,23,17
MSBA,410,Accounting and Financial Management,Lecture,02/01/2021 - 05/07/2021,3 units,W 8:30 AM - 11:15 AM,Web/Distance Learning,Heidi Blakeway-Phillips,25,16,9
MSBA,432,Operations Analytics: Stochastic,Lecture,02/01/2021 - 05/07/2021,3 units,Tu 7:00 PM - 9:45 PM,Web/Distance Learning,Pooyan Kazemian,50,41,9
MSBA,433,Foundations of Probability and Statistics,Lecture,02/01/2021 - 05/07/2021,3 units,M 7:00 PM - 9:45 PM,Web/Distance Learning,Pooyan Kazemian,35,27,8
MSBA,445,Advanced Marketing Analytics,Lecture,02/01/2021 - 05/07/2021,3 units,Th 7:00 PM - 9:45 PM,Peter B Lewis 05,Rakesh Niraj,35,11,24
